profit_target,stop_loss,exit_time,iv_momentum_threshold,trades,total_return,sharpe,profit_factor,max_drawdown,win_rate,avg_win,avg_loss,cagr,sharpe_valid,pf_valid
0.07,0.04,11:30:00,0.003,82,-0.0214,-10.0375,0.2249,-0.0219,0.2073,364.72,-424.14,-0.0147,-10.0375,0.2249
0.07,0.04,11:30:00,0.005,73,-0.0185,-9.635,0.2393,-0.0191,0.2055,387.29,-418.63,-0.0127,-9.635,0.2393
0.07,0.04,11:30:00,0.01,54,-0.0143,-9.5588,0.2461,-0.0146,0.1852,467.44,-431.63,-0.0099,-9.5588,0.2461
0.07,0.04,12:00:00,0.0,96,-0.0254,-9.7645,0.2338,-0.0258,0.1875,431.07,-425.43,-0.0175,-9.7645,0.2338
0.07,0.04,12:00:00,0.003,82,-0.0226,-10.2675,0.2183,-0.023,0.1951,395.03,-438.69,-0.0156,-10.2675,0.2183
0.07,0.04,12:00:00,0.005,73,-0.019,-9.5138,0.2444,-0.0194,0.2055,408.88,-432.6,-0.0131,-9.5138,0.2444
0.07,0.04,12:00:00,0.01,54,-0.0144,-9.1892,0.255,-0.0147,0.1852,492.45,-438.93,-0.0099,-9.1892,0.255
0.07,0.04,13:00:00,0.0,96,-0.0291,-10.6616,0.219,-0.0295,0.1771,479.62,-471.25,-0.0201,-10.6616,0.219
0.07,0.04,13:00:00,0.003,82,-0.0258,-11.1261,0.2064,-0.0263,0.1829,447.64,-485.51,-0.0178,-11.1261,0.2064
0.07,0.04,13:00:00,0.005,73,-0.021,-10.038,0.242,-0.0214,0.1918,478.0,-468.75,-0.0144,-10.038,0.242
0.07,0.04,13:00:00,0.01,54,-0.0161,-10.2157,0.2344,-0.0163,0.1852,492.03,-477.14,-0.0111,-10.2157,0.2344
0.07,0.04,14:00:00,0.0,96,-0.0326,-12.023,0.19,-0.033,0.125,636.49,-478.67,-0.0225,-12.023,0.19
0.07,0.04,14:00:00,0.003,82,-0.0293,-12.7828,0.1744,-0.0298,0.122,619.9,-493.66,-0.0202,-12.7828,0.1744
0.07,0.04,14:00:00,0.005,73,-0.0243,-11.6603,0.2034,-0.0248,0.137,619.9,-483.72,-0.0167,-11.6603,0.2034
0.07,0.04,14:00:00,0.01,54,-0.019,-12.195,0.1898,-0.0192,0.1296,635.05,-498.43,-0.0131,-12.195,0.1898
0.07,0.04,14:45:00,0.0,96,-0.0336,-12.128,0.1877,-0.0342,0.125,646.84,-492.18,-0.0232,-12.128,0.1877
0.07,0.04,14:45:00,0.003,82,-0.0294,-12.8086,0.1761,-0.0301,0.1098,699.28,-489.58,-0.0203,-12.8086,0.1761
0.07,0.04,14:45:00,0.005,73,-0.0244,-11.6793,0.2053,-0.025,0.1233,699.28,-478.99,-0.0168,-11.6793,0.2053
